filename,width,height,channels,file_size_mb
Oil (1204).png,768,432,3,0.013739585876464844
Oil (1205).png,768,432,3,0.014375686645507812
Oil (1207).png,768,432,3,0.014836311340332031
Oil (1209).png,768,432,3,0.013446807861328125
Oil (121).png,1920,1080,3,0.014818191528320312
Oil (1211).png,768,432,3,0.01152801513671875
Oil (1212).png,768,432,3,0.009897232055664062
Oil (1213).png,768,432,3,0.012284278869628906
Oil (1215).png,768,432,3,0.013096809387207031
Oil (1216).png,768,432,3,0.012454032897949219
Oil (1219).png,768,432,3,0.011279106140136719
Oil (122).png,1920,1080,3,0.015008926391601562
Oil (1221).png,768,432,3,0.0072956085205078125
Oil (1224).png,768,432,3,0.008509635925292969
Oil (1225).png,768,432,3,0.007913589477539062
Oil (1226).png,768,432,3,0.008269309997558594
Oil (1228).png,768,432,3,0.007615089416503906
Oil (1229).png,768,432,3,0.00800323486328125
Oil (123).png,1920,1080,3,0.016231536865234375
Oil (1230).png,768,432,3,0.0056610107421875
Oil (1235).png,768,432,3,0.007710456848144531
Oil (1236).png,768,432,3,0.007390022277832031
Oil (1238).png,768,432,3,0.009865760803222656
Oil (1239).png,768,432,3,0.009415626525878906
Oil (1240).png,768,432,3,0.009448051452636719
Oil (1242).png,768,432,3,0.009026527404785156
Oil (1243).png,768,432,3,0.0033779144287109375
Oil (1246).png,768,432,3,0.004256248474121094
Oil (1247).png,768,432,3,0.006817817687988281
Oil (1248).png,768,432,3,0.0047893524169921875
Oil (1249).png,768,432,3,0.008093833923339844
Oil (125).png,1920,1080,3,0.01609325408935547
Oil (1250).png,768,432,3,0.007945060729980469
Oil (1251).png,768,432,3,0.009243965148925781
Oil (1253).png,768,432,3,0.009969711303710938
Oil (1255).png,768,432,3,0.0076427459716796875
Oil (129).png,1920,1080,3,0.02285289764404297
Oil (13).png,1920,1080,3,0.017563819885253906
Oil (132).png,1920,1080,3,0.02602863311767578
Oil (136).png,1920,1080,3,0.023710250854492188
Oil (137).png,1920,1080,3,0.024358749389648438
