filename,width,height,channels,file_size_mb
Oil (1083).jpg,1920,1080,3,0.5893783569335938
Oil (1087).jpg,1920,1080,3,0.5906009674072266
Oil (1088).jpg,1920,1080,3,0.6165294647216797
Oil (1089).jpg,1920,1080,3,0.6019058227539062
Oil (1090).jpg,1920,1080,3,0.5985164642333984
Oil (1091).jpg,1920,1080,3,0.5941858291625977
Oil (1092).jpg,1920,1080,3,0.6011219024658203
Oil (1094).jpg,1920,1080,3,0.6886730194091797
Oil (1098).jpg,1920,1080,3,0.7688579559326172
Oil (11).jpg,1920,1080,3,0.5487461090087891
Oil (1101).jpg,1920,1080,3,0.7427949905395508
Oil (1102).jpg,1920,1080,3,0.4928779602050781
Oil (1103).jpg,1920,1080,3,0.4955883026123047
Oil (1105).jpg,1920,1080,3,0.5073699951171875
Oil (1107).jpg,1920,1080,3,0.5228195190429688
Oil (111).jpg,1920,1080,3,0.7629804611206055
Oil (1110).jpg,1920,1080,3,0.5441074371337891
Oil (1111).jpg,1920,1080,3,0.5606002807617188
Oil (1112).jpg,1920,1080,3,0.5553979873657227
Oil (1114).jpg,1920,1080,3,0.5838251113891602
Oil (1115).jpg,1920,1080,3,0.5911483764648438
Oil (1116).jpg,1920,1080,3,0.5943975448608398
Oil (1117).jpg,1920,1080,3,0.6065597534179688
Oil (1118).jpg,1920,1080,3,0.6136627197265625
Oil (1119).jpg,1920,1080,3,0.6374197006225586
Oil (1120).jpg,1920,1080,3,0.6449193954467773
Oil (1126).jpg,1920,1080,3,0.5810813903808594
Oil (1127).jpg,1920,1080,3,0.7062063217163086
Oil (1129).jpg,1920,1080,3,0.6811532974243164
Oil (113).jpg,1920,1080,3,0.8026094436645508
Oil (1131).jpg,1920,1080,3,0.6759052276611328
Oil (1133).jpg,1920,1080,3,0.7423887252807617
Oil (1134).jpg,1920,1080,3,0.8452434539794922
Oil (1135).jpg,1920,1080,3,0.8582735061645508
Oil (1137).jpg,1920,1080,3,0.6865921020507812
Oil (1139).jpg,1920,1080,3,0.6072311401367188
Oil (1141).jpg,1920,1080,3,0.6554269790649414
Oil (1142).jpg,1920,1080,3,0.6422262191772461
Oil (1143).jpg,1920,1080,3,1.156254768371582
Oil (1146).jpg,5184,2920,3,7.221246719360352
Oil (1147).jpg,1920,1080,3,1.188746452331543
Oil (1148).jpg,5184,2920,3,7.1650590896606445
Oil (1150).jpg,5184,2920,3,7.299813270568848
Oil (1152).jpg,1920,1080,3,1.209726333618164
Oil (1153).jpg,5184,2920,3,7.3861541748046875
Oil (1154).jpg,1920,1080,3,1.2185382843017578
Oil (1156).jpg,1920,1080,3,1.1567792892456055
Oil (1157).jpg,5184,2920,3,7.26203727722168
Oil (1158).jpg,1920,1080,3,1.149571418762207
Oil (1159).jpg,5184,2920,3,7.20570182800293
Oil (116).jpg,1920,1080,3,0.8584690093994141
Oil (1160).jpg,1920,1080,3,1.1452951431274414
Oil (1161).jpg,5184,2920,3,7.229434967041016
Oil (1163).jpg,5184,2920,3,7.041049957275391
Oil (1165).jpg,1920,1080,3,1.164693832397461
Oil (1166).jpg,5184,2920,3,7.331386566162109
Oil (1167).jpg,1920,1080,3,1.1651182174682617
Oil (1168).jpg,5184,2920,3,7.4032793045043945
Oil (1169).jpg,1920,1080,3,1.1519088745117188
Oil (117).jpg,1920,1080,3,0.8537187576293945
Oil (1170).jpg,5184,2920,3,7.317529678344727
Oil (1174).jpg,1920,1080,3,1.0755329132080078
Oil (1176).jpg,5184,2920,3,7.112361907958984
Oil (1179).jpg,5184,2920,3,6.947060585021973
Oil (1180).jpg,768,432,3,0.13388442993164062
Oil (1181).jpg,768,432,3,0.18173599243164062
Oil (1182).jpg,768,432,3,0.18573474884033203
Oil (1185).jpg,768,432,3,0.1830911636352539
Oil (1189).jpg,768,432,3,0.18590641021728516
Oil (119).jpg,1920,1080,3,0.8551311492919922
Oil (1192).jpg,768,432,3,0.1763019561767578
Oil (1193).jpg,768,432,3,0.17062854766845703
Oil (1196).jpg,768,432,3,0.1709918975830078
Oil (1199).jpg,768,432,3,0.18141651153564453
Oil (1200).jpg,768,432,3,0.17972278594970703
Oil (1201).jpg,768,432,3,0.18188858032226562
Oil (1202).jpg,768,432,3,0.18772602081298828
Oil (1203).jpg,768,432,3,0.18897724151611328
Oil (1204).jpg,768,432,3,0.18588924407958984
Oil (1205).jpg,768,432,3,0.1847696304321289
Oil (1207).jpg,768,432,3,0.18694210052490234
Oil (1209).jpg,768,432,3,0.19646549224853516
Oil (121).jpg,1920,1080,3,0.8625555038452148
Oil (1211).jpg,768,432,3,0.19932937622070312
Oil (1212).jpg,768,432,3,0.1923227310180664
Oil (1213).jpg,768,432,3,0.1939249038696289
Oil (1215).jpg,768,432,3,0.18384742736816406
Oil (1216).jpg,768,432,3,0.18974685668945312
Oil (1219).jpg,768,432,3,0.14018630981445312
Oil (122).jpg,1920,1080,3,0.8657140731811523
Oil (1221).jpg,768,432,3,0.11181449890136719
Oil (1224).jpg,768,432,3,0.15315532684326172
Oil (1225).jpg,768,432,3,0.17760562896728516
Oil (1226).jpg,768,432,3,0.17741012573242188
Oil (1228).jpg,768,432,3,0.16656970977783203
Oil (1229).jpg,768,432,3,0.1404266357421875
Oil (123).jpg,1920,1080,3,0.8770294189453125
Oil (1230).jpg,768,432,3,0.16410541534423828
Oil (1235).jpg,768,432,3,0.18085193634033203
Oil (1236).jpg,768,432,3,0.18682384490966797
Oil (1238).jpg,768,432,3,0.19083118438720703
Oil (1239).jpg,768,432,3,0.20478534698486328
Oil (1240).jpg,768,432,3,0.21099853515625
Oil (1242).jpg,768,432,3,0.17978286743164062
Oil (1243).jpg,768,432,3,0.15932178497314453
Oil (1246).jpg,768,432,3,0.1469402313232422
Oil (1247).jpg,768,432,3,0.16466426849365234
Oil (1248).jpg,768,432,3,0.14617443084716797
Oil (1249).jpg,768,432,3,0.159912109375
Oil (125).jpg,1920,1080,3,0.8846492767333984
Oil (1250).jpg,768,432,3,0.16527175903320312
Oil (1251).jpg,768,432,3,0.1519317626953125
Oil (1253).jpg,768,432,3,0.15032386779785156
Oil (1255).jpg,768,432,3,0.13540363311767578
Oil (129).jpg,1920,1080,3,0.8434724807739258
Oil (13).jpg,1920,1080,3,0.7539958953857422
Oil (132).jpg,1920,1080,3,0.782475471496582
Oil (136).jpg,1920,1080,3,0.8372888565063477
Oil (137).jpg,1920,1080,3,0.8440084457397461
Oil (139).jpg,1920,1080,3,0.8412971496582031
Oil (140).jpg,1920,1080,3,0.7068853378295898
Oil (141).jpg,1920,1080,3,0.7954778671264648
Oil (143).jpg,1920,1080,3,0.8062334060668945
Oil (147).jpg,1920,1080,3,0.8258342742919922
Oil (149).jpg,1920,1080,3,0.8325128555297852
Oil (15).jpg,1920,1080,3,0.7954082489013672
Oil (150).jpg,1920,1080,3,0.8485536575317383
Oil (151).jpg,1920,1080,3,0.8557090759277344
Oil (152).jpg,1920,1080,3,0.8577079772949219
Oil (153).jpg,1920,1080,3,0.8517293930053711
Oil (154).jpg,1920,1080,3,0.8595418930053711
Oil (156).jpg,1920,1080,3,0.8650426864624023
Oil (157).jpg,1920,1080,3,0.8493881225585938
Oil (158).jpg,1920,1080,3,0.8200750350952148
Oil (16).jpg,1920,1080,3,0.8180789947509766
Oil (160).jpg,1920,1080,3,0.7605152130126953
Oil (163).jpg,1920,1080,3,0.9349403381347656
Oil (168).jpg,1920,1080,3,0.8309640884399414
Oil (169).jpg,1920,1080,3,0.843998908996582
Oil (17).jpg,1920,1080,3,0.8495044708251953
Oil (170).jpg,1920,1080,3,0.8239803314208984
Oil (172).jpg,1920,1080,3,0.8778800964355469
Oil (173).jpg,1920,1080,3,0.872624397277832
Oil (174).jpg,1920,1080,3,0.8567609786987305
